25,40,15,21,15,18,8,16,17,61,19,34,5,34,20,27,15,31,12,68;
30,49,10,25,18,23,9,28,11,74,29,56,6,13,14,18,7,31,17,69;
22,39,11,23,14,26,7,26,12,62,23,40,12,23,18,22,12,18,16,63;
25,43,10,26,18,23,12,23,11,69,14,34,9,29,19,20,10,30,17,63;
24,35,16,26,16,18,7,14,19,61,25,44,8,29,16,19,14,26,13,73;
22,39,16,25,19,21,8,18,13,64,24,46,3,18,26,29,11,25,10,64;
21,45,9,37,12,13,19,33,6,82,23,49,9,22,13,17,11,30,9,71;
32,47,12,26,2,7,9,21,5,73,26,42,9,30,17,19,13,26,7,72;
33,49,3,18,12,15,10,23,14,67,29,49,4,19,15,22,9,28,9,68;
27,62,3,14,12,19,13,34,12,76,16,39,13,28,12,19,10,32,13,67;
31,57,3,12,24,35,14,25,11,69,21,35,11,30,12,17,9,27,18,65;
28,46,10,21,23,31,7,27,9,67,30,51,6,24,15,22,12,28,9,75;
26,48,8,26,17,21,15,25,10,74,17,38,13,37,21,28,16,30,10,75;

